,z>=0.0,z>=0.5,z>=1.0,z>=1.5,z>=2.0,v3_best,v3_gross,N225_B&H
2025-02-21,-0.003491362917569546,0.0,0.0,0.0,0.0,0.0,0.0,0.002557067166465865
2025-02-25,0.0011077008295890954,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013903941987108315
2025-02-26,-0.00044278248434886485,-0.000334306961486652,-0.000334306961486652,-0.000334306961486652,-0.000334306961486652,-0.000334306961486652,-3.430696148665202e-05,-0.0024953840451925613
2025-02-27,-0.0007323491026199441,-0.0007323491026199441,-0.0007323491026199441,-0.0006419324915036103,-0.0003,-0.0006419324915036103,-0.00010467110520843467,0.0029835791007928325
2025-02-28,-0.01903900376152252,-0.01903900376152252,-0.013729994068888442,-0.00023726138629517554,-0.0,-0.00023726138629517554,-0.0,-0.0287710928996342
2025-03-03,0.00032935601149439625,-0.0003,-0.00021500599882152868,0.0,0.0,0.0,0.0,0.016954925919446584
2025-03-04,-0.001614137823806545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.012022851046409211
2025-03-05,-0.002251430887113979,-0.0021636354286561077,0.0,0.0,0.0,0.0,0.0,0.0023320611477797293
2025-03-06,0.0007377259654679656,0.0007377259654679656,0.0010273280083223594,0.0009115782450212872,0.0,0.0009115782450212872,0.0011777770357589913,0.007661809305267608
2025-03-07,-0.008364062328535926,-0.008364062328535926,-0.008364062328535926,-0.005228662287788906,-0.0,-0.005228662287788906,-0.005147077527605905,-0.021688352671059508
2025-03-10,-0.002105972065665606,-0.002105972065665606,-0.002105972065665606,-0.001795598724975573,0.0,-0.001795598724975573,-0.0013433751241985652,0.003825114506694538
2025-03-11,-0.0057056681585450075,-0.0057056681585450075,-0.0057056681585450075,-0.0038078884263438462,0.0,-0.0038078884263438462,-0.003736754782073003,-0.006350827603529674
2025-03-12,-0.0015229477076306175,-0.0015229477076306175,-0.0015229477076306175,-0.0009486144952547025,0.0,-0.0009486144952547025,-0.0009366448808839203,0.000706123216855703
2025-03-13,0.007863982555383453,0.007863982555383453,0.007863982555383453,0.007748488866964132,0.007563982555383453,0.007748488866964132,0.007863982555383453,-0.000789226291940337
2025-03-14,-0.0005363842427044552,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.007150586818270188
2025-03-17,0.0012360762510455314,0.0012301131184437545,0.000984726883823621,-0.0,-0.0,-0.0,-0.0,0.009268265118663077
2025-03-18,-0.00121128363994134,-0.00121128363994134,-0.0011054379226469852,-0.0,-0.0,-0.0,-0.0,0.012003853550458965
2025-03-19,-0.0008028146195520119,-0.0003,-0.0002848562232929166,-0.0,-0.0,-0.0,-0.0,-0.002471711613070804
2025-03-21,-0.0017307212565287485,-0.0016557755236266036,0.0,0.0,0.0,0.0,0.0,-0.0019818963894698838
2025-03-24,-0.0007018080042523821,-0.0002709275486641448,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0018199486652966668
2025-03-25,-0.002584883421817161,-0.0026048862591483662,-0.0,-0.0,-0.0,-0.0,-0.0,0.004574785882467403
2025-03-26,0.0013909770200337622,0.0013909770200337622,-0.0,-0.0,-0.0,-0.0,-0.0,0.00653114026752788
2025-03-27,0.00020456518253241066,-0.00026118135866424975,0.0,0.0,0.0,0.0,0.0,-0.005977820615253093
2025-03-28,-0.0065103600937531595,-0.00664922792589554,-0.004172986747193874,-0.0,-0.0,-0.0,-0.0,-0.017979925578642142
2025-03-31,0.01456039352174312,0.01456039352174312,-0.00018827690043269986,-0.0,-0.0,-0.0,-0.0,-0.040483735116498276
2025-04-01,-0.00986331917062224,-0.00986331917062224,-0.004923974564453866,-0.0,-0.0,-0.0,-0.0,0.0001943388394176626
2025-04-02,0.0001034327364571214,0.0001034327364571214,0.00011645241739066442,-0.0,-0.0,-0.0,-0.0,0.002846094137118449
2025-04-03,-0.002977408959501212,-0.0003,-0.00020027177504871598,-0.0,-0.0,-0.0,-0.0,-0.027709370714915416
2025-04-04,-0.015488285138798808,-0.015577283869390423,-0.015577283869390423,-0.015577283869390423,-0.012365714691331482,-0.015577283869390423,-0.015277283869390423,-0.027503267397613107
2025-04-07,-0.02722570805186432,-0.0003,-0.0003,-0.0003,-0.0002381489891629364,-0.0003,-0.0,-0.07826976901020699
2025-04-08,0.004956781256516695,0.0,0.0,0.0,0.0,0.0,0.0,0.060250613335437686
2025-04-09,0.01638256883347063,0.016420041396206776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.039334971755557224
2025-04-10,-0.06374033234312734,-0.06374033234312734,0.0,0.0,0.0,0.0,0.0,0.0912835980576665
2025-04-11,-0.009267709766710529,-0.009267709766710529,-0.0,-0.0,-0.0,-0.0,-0.0,-0.029570975035395408
2025-04-14,-0.00020977793865921976,-0.0002438334419145696,-0.0,-0.0,-0.0,-0.0,-0.0,0.011814036623792656
2025-04-15,-0.0026970651479681683,-0.0026719068518506247,-0.0018134811819541996,-0.0,-0.0,-0.0,-0.0,0.008391991984811886
2025-04-16,0.004057087670781241,-0.0003,-0.00020361651238307282,-0.0,-0.0,-0.0,-0.0,-0.010130305078717705
2025-04-17,-0.005154362947615701,0.0,0.0,0.0,0.0,0.0,0.0,0.013478707387309052
2025-04-18,0.010522220496227181,0.010656618458636935,0.007033121296495824,0.0,0.0,0.0,0.0,0.010258996307779489
2025-04-21,0.0010811982524191776,-0.0003,-0.0001979930497782525,-0.0,-0.0,-0.0,-0.0,-0.012967340280320983
2025-04-22,-0.0013421527954081062,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017304681357299678
2025-04-23,0.0011010663533272019,0.0012204178157423006,0.0,0.0,0.0,0.0,0.0,0.01893676072778705
