,Alpha Only (≥2),"Alpha+PCA (≥2,top30%)","Alpha+PCA (≥2,top50%)",Alpha Only (≥3),JP Equal-Weight B&H
2018-09-06,-0.005423824240234721,-0.005308323779854624,-0.0037726886043332355,-0.0069423185222749675,-0.006282593429056131
2018-09-07,-0.00832733846365475,0.0024733011438227695,-0.002224576151057616,-0.006221523053719028,-0.0024823783009527067
2018-09-10,0.002490458380337097,0.004351624073496142,0.004339437324315021,0.0014392432233004467,0.00346607712323883
2018-09-11,0.011072791578582115,0.011198209411303723,0.011763554963531103,0.005313287790269424,0.008146075076511333
2018-09-12,-0.000618162609735841,0.0007911289898879595,0.010993045490811273,0.0004098615405802657,-0.0007968634378787741
2018-09-13,0.011758205353938983,0.014031498167052098,0.013223203230870416,0.007685234378730128,0.015892851556946155
2018-09-14,0.012994112366041397,0.01573055366830196,0.015450867015405798,0.007248988081329991,0.011203619397523701
2018-09-17,0.0,0.0,0.0,0.0,0.0
2018-09-18,0.02254693729908912,0.022114560002385902,0.020197563499770903,0.009810256658002546,0.019455065228839684
2018-09-19,0.007507841535106037,0.012033520970524712,0.013913730779526264,0.007074731165998101,0.013300501928318052
2018-09-20,-0.010715378103151058,-0.006458849452636695,-0.007337926979401256,-0.0018942501130025592,0.002964623977360671
2018-09-21,-0.0002899395886308367,-0.0038503210457129663,-0.0032272059418812903,0.002926564793376924,0.012746887338725022
2018-09-24,0.0,0.0,0.0,0.0,0.0
2018-09-25,0.014986831232942187,0.0245676373287885,0.0150218533049985,0.004682165883502699,0.006026164892183482
2018-09-26,0.02445236881898646,0.0098658117944689,0.02377742621961696,0.002665255070744614,0.007764283201695476
2018-09-27,-0.011799616644733236,-0.00831803095899657,-0.011540465784440273,-0.004613789729641752,-0.00961280287702738
2018-09-28,0.00977946547142898,0.012975809719495149,0.010602028456194098,0.0006433794723976851,0.01031014770209839
2018-10-01,0.006183131576473284,0.0005072088094952347,0.0021413993262685434,-0.00035477900371372003,0.0015498719679806184
2018-10-02,0.010988641080654928,0.012401372393661878,0.012983969076450073,0.00462708147636203,0.004584991069997099
2018-10-03,-0.01628815614555234,-0.010476496759913429,-0.016136949943059316,-0.006435774971431021,-0.012082999776201751
2018-10-04,-2.231231229456968e-06,-7.643726011020212e-05,-0.0019873122916681464,0.0021238616327505927,0.001963109227344311
2018-10-05,-0.0032962387454320116,-0.0024422135144482613,-0.005670711155207241,0.0005106809108332438,-0.0023515902258514666
2018-10-08,0.0,0.0,0.0,0.0,0.0
2018-10-09,-0.017662563323378136,-0.018164652029199445,-0.016707939565420445,-0.007411279636302718,-0.01443359424175866
2018-10-10,0.0026967810821542995,0.00404272596354161,3.3901839318202856e-05,0.00032782422681260364,0.0034160637901290165
2018-10-11,-0.03149672070865594,-0.028591752640713796,-0.0294139910776436,-0.016062672251146617,-0.03281848423784093
2018-10-12,0.002888779452825266,-0.011746868352844494,-0.004333110172334422,-0.009270412502628425,-0.004052162025633556
2018-10-15,-0.013832412291407753,-0.009732505286469838,-0.013009192909041147,-0.009433988123834478,-0.013755799953716103
2018-10-16,0.0034378065634302875,0.0016652673016365057,0.0061241867693183055,0.006977842043017113,0.013550591851510307
2018-10-17,0.012060894319645658,0.011957681229485494,0.008618814919383915,0.0075305197602984235,0.0125840386298685
2018-10-18,0.00594281689939462,0.004198160151118044,0.0052082971763064735,0.002091719515939458,-0.005057093520346044
2018-10-19,-0.007715377364441157,-0.007269994548219322,-0.006650564999177594,-0.002498304397289523,-0.007261040675353333
2018-10-22,0.0051579710225144295,0.004959081959848478,0.002468079911738954,0.0008163999433661744,0.0018281748088320954
2018-10-23,-0.005007617280392751,-0.02148584543869237,-0.007351582269737884,-0.013271565617180368,-0.025858027126379815
2018-10-24,0.0031600551829593917,0.011851014151492364,0.009050777617494324,0.004990569713690924,-0.0007173864277802215
2018-10-25,-0.020141577260396247,-0.019495018948918738,-0.019054807905274567,-0.019695980160170733,-0.02580263120155302
2018-10-26,0.003991188987506153,0.0009312484569277835,0.004214765854910665,0.002988585498825203,0.0025922858562886786
2018-10-29,0.003381822800121677,0.010885243033949492,0.00786963877095053,0.0024745389309124943,0.007500935838077231
2018-10-30,0.003161208261273989,-0.0011207190908032192,0.0004218640082128298,-0.004791979445166879,0.007405148092828398
2018-10-31,0.014678579737012186,0.006583870069590348,0.006345127344159302,0.011192272719152983,0.015986841731414552
2018-11-01,-0.004841509778871658,0.006171316918695412,-0.013765950328474148,-0.019880893872920764,-0.010532004963074134
2018-11-02,0.003957653440770707,-0.004314929280534329,-0.0054567182602565205,-0.0015550355252229912,0.0137389102775316
2018-11-05,-0.013344766910946958,-0.010448274776697207,-0.008047657639979626,-0.009283487681510785,-0.0108317389214552
2018-11-06,0.01997512871726713,0.016888663053306722,0.013325018214452826,0.012415804045705666,0.016455346413195276
2018-11-07,-0.013853320835229738,-0.00972215748268547,-0.01225850509331524,-0.0101272311697938,-0.008458912488538068
2018-11-08,0.032098679273236105,0.03247125408842225,0.03513251978060515,0.017618007302280213,0.024192736793320853
2018-11-09,-0.005598960743156467,0.003753969506100771,0.0005667824942321576,-0.00205336528284316,-0.008245298350398928
2018-11-12,0.004739212403360601,0.01898291856551866,0.005626917962142124,0.0007376674706511259,-0.0014974007022790752
2018-11-13,-0.021261971121497702,-0.018110210230681753,-0.019577548716048693,-0.016120857199775615,-0.020805986934496652
